id,user_id,hours,date,project_num,price
435,14,9,3/3/2019,2019-ISO-4,2.8
436,14,3.5,3/4/2019,2019-ISO-16,2.8
437,14,5.5,3/4/2019,2019-ISO-4,2.8
438,15,1,3/4/2019,2019-ISO-4,3
439,15,1,3/4/2019,2019-ISO-13,3
440,15,1,3/4/2019,2019-ISO-10,3
441,15,5,3/4/2019,2019-ISO-5,3
442,15,1,3/4/2019,2019-Cost Center-3,3
443,15,5,2/28/2019,2019-Vacation-1,3
444,15,4,2/28/2019,2019-Cost Center-7,3
445,19,8,3/4/2019,2019-BPR-1,2.5
446,19,1,3/4/2019,2019-ISO-3,2.5
447,19,4,2/28/2019,2019-Cost Center-7,2.5
448,12,9,3/3/2019,2019-ISO-7,3.3
449,12,6,3/4/2019,2019-ISO-4,3.3
450,12,3,3/4/2019,2019-ISO-7,3.3
451,12,4,2/28/2019,2019-Cost Center-7,3.3
452,12,3.5,2/28/2019,2019-ISO-7,3.3
453,53,9,3/4/2019,2019-Cost Center-3,1.9
458,2,2,3/5/2019,2019-ISO-10,8.8
459,2,6,3/5/2019,2019-Cost Center-3,8.8
571,13,1,3/10/2019,2019-ISO-9,3
463,14,9,3/5/2019,2019-ISO-16,2.8
464,53,9,3/5/2019,2019-Cost Center-3,1.9
570,13,2.5,3/10/2019,2019-ISO-13,3
466,1,3,3/4/2019,2019-Lean-5,8.8
467,1,6,3/4/2019,2019-Cost Center-3,8.8
468,1,2,3/5/2019,2019-Lean-2,8.8
469,1,2,3/5/2019,2019-Lean-1,8.8
470,1,5,3/5/2019,2019-Cost Center-3,8.8
575,13,1.5,3/10/2019,2019-ISO-13,3
576,13,1,3/10/2019,2019-ISO-5,3
531,12,1,3/7/2019,2019-Cost Center-3,3.3
577,13,3,3/10/2019,2019-ISO-9,3
481,19,9,3/5/2019,2019-BPR-1,2.5
478,13,0.5,3/5/2019,2019-Cost Center-3,3
479,13,0.5,3/5/2019,2019-ISO-13,3
480,13,8,3/5/2019,2019-ISO-9,3
563,13,1.5,3/6/2019,2019-ISO-9,3
483,13,0.5,3/6/2019,2019-ISO-13,3
484,1,4,3/6/2019,2019-Lean-2,8.8
485,13,2.5,3/6/2019,2019-Cost Center-3,3
490,53,9,3/6/2019,2019-Cost Center-3,1.9
489,14,9,3/6/2019,2019-ISO-4,2.8
488,13,3,3/6/2019,2019-ISO-13,3
572,53,9,3/10/2019,2019-ISO-13,1.9
493,15,8,3/6/2019,2019-ISO-7,3
494,15,1,3/6/2019,2019-Cost Center-3,3
495,15,3,3/5/2019,2019-Vacation-1,3
496,15,2,3/5/2019,2019-Cost Center-3,3
497,15,2,3/5/2019,2019-ISO-13,3
498,15,2,3/5/2019,2019-ISO-5,3
500,15,2,3/7/2019,2019-Cost Center-3,3
501,15,2,3/7/2019,2019-Cost Center-2,3
502,15,2,3/7/2019,2019-ISO-7,3
503,15,3,3/7/2019,2019-Vacation-1,3
504,19,9,3/6/2019,2019-BPR-1,2.5
505,20,1,3/5/2019,2019-ISO-10,2.5
506,20,8,3/5/2019,2019-ISO-8,2.5
507,20,9,3/6/2019,2019-ISO-2,2.5
508,20,8,3/4/2019,2019-ISO-15,2.5
509,20,1,3/4/2019,2019-ISO-10,2.5
511,14,8,3/7/2019,2019-ISO-4,2.8
512,14,1,3/7/2019,2019-Cost Center-3,2.8
513,53,9,3/7/2019,2019-Cost Center-3,1.9
514,10,4,3/7/2019,2019-Lean-1,2.8
515,10,5,3/7/2019,2019-Lean-4,2.8
516,10,5,3/6/2019,2019-Lean-2,2.8
517,10,4,3/6/2019,2019-Lean-1,2.8
518,10,5,3/5/2019,2019-Lean-1,2.8
519,10,4,3/5/2019,2019-Lean-2,2.8
522,10,2.5,3/2/2019,2019-Lean-1,2.8
521,10,2.5,3/2/2019,2019-Lean-4,2.8
523,10,5,3/3/2019,2019-Lean-2,2.8
